Country, Mwi, Mwi_level, Total_waste, Skip_1, Skip_2, Skip_3, Skip_4, Skip_5, Skip_6
"India",98.55,"Very High",7408124,7300752,5.3,59260,98860,330764,44535
"China",17.41,"Low",37606230,6546264,26.7,496480,1273710,517699,39932
"United States",8.71,"Very Low",22867246,1992144,69,380350,264760,254667,12152
"Indonesia",98.42,"Very High",3366941,3313742,12.4,26940,79080,80414,20214
"Pakistan",91.53,"Very High",790123,723213,3.5,6320,4790,58487,4412
"Nigeria",99.44,"Very High",935848,930624,4.5,7490,960,27685,5677
"Brazil",97.97,"Very High",4911580,4811936,23,39290,1250,53708,29353
"Bangladesh",98.54,"Very High",579920,571453,3.5,0,2860,47830,3486
"Russia",97.82,"Very High",3164038,3094976,22,25310,12180,47987,18879
"Ethiopia",96.41,"Very High",150254,144867,1.3,5260,0,13381,884
"Mexico",67.24,"High",4049874,2723104,32.1,200880,26090,36238,16611
"Japan",10.87,"Very Low",3806805,413770,30.2,675660,2540,172872,2524
"Philippines",98.37,"Very High",938218,922969,8.4,78540,7950,31807,5630
"Egypt",89.37,"Very High",834699,745985,7.8,70,950,31451,4551
"DR Congo",97.75,"Very High",1144387,1118640,12.3,30,0,10456,6824
"Vietnam",32.01,"Low",2951900,944959,30.5,131330,713980,27130,5764
"Iran",84.41,"Very High",1305605,1102093,15,0,0,19684,6723
"Turkey",48.03,"Medium",938490,450803,11.2,9580,429770,19827,2750
"Germany",8.34,"Very Low",3568313,297559,42.9,428860,294020,74309,1815
"Thailand",98.49,"Very High",3355763,3304945,46.9,132630,179080,26463,20160
"Tanzania",99.61,"Very High",126931,126432,2.1,3030,200,7298,771
"United Kingdom",12.31,"Very Low",2085254,256610,31.1,149230,45720,59546,1565
"France",5.08,"Very Low",2680095,136239,39.7,314320,101040,60757,831
"South Africa",81.81,"Very High",1013303,828949,17.2,8110,5600,12765,5057
"Italy",22.03,"Low",3335851,734733,56.1,156940,141810,55704,4482
"Kenya",98.9,"Very High",270850,267861,5.2,2170,50,7512,1634
"Myanmar",99.18,"Very High",498431,494335,9.3,6120,30490,14348,3015
"Colombia",62.42,"High",769331,480247,15.1,6150,100,12425,2930
"Uganda",99.71,"Very High",59786,59613,1.3,510,30,4758,364
"Sudan",80.53,"Very High",359574,289580,8.1,0,0,6722,1766
"Spain",16.92,"Low",1580823,267425,33.4,57160,141750,42735,1631
"Iraq",98.35,"Very High",695106,683664,16.3,0,480,8950,4170
"Algeria",12.82,"Very Low",2092007,268285,48.1,0,0,13747,1637
"Argentina",40.77,"Medium",1236184,503987,27.2,9890,0,23641,3074
"Afghanistan",98.06,"Very High",447766,439097,11.5,0,850,9101,2678
"Poland",13.49,"Very Low",1315,177365,34.7,130100,214850,35388,1082
"Canada",2.57,"Very Low",2106603,54061,55.4,386440,426440,29422,330
"Morocco",74.41,"High",548160,407884,14.9,4390,2530,5980,2488
"Ukraine",59.39,"Medium",1066942,633696,24.2,8540,37140,32866,3866
"Angola",94.37,"Very High",568842,536821,17,4550,210,8184,3275
"Saudi Arabia",70.23,"High",2105362,1478568,58.5,43530,30,26737,9019
"Uzbekistan",98.23,"Very High",100000,98225,2.9,800,14400,8212,599
"Yemen",97.8,"Very High",384783,376318,11.9,0,0,3581,2296
"Mozambique",99.85,"Very High",105235,105074,3.4,860,640,3671,641
"Ghana",87.98,"Very High",141531,124522,4.4,1130,910,4026,760
"Peru",94.49,"Very High",597668,564722,17.9,4780,5230,8251,3445
"Malaysia",76.4,"High",1371397,1047735,41.3,25650,589970,11789,6391
"Nepal",93.84,"Very High",267823,251325,9.1,2140,0,8995,1533
"Madagascar",99.81,"Very High",299816,299232,10.6,2400,0,3349,1825
"Ivory Coast",97.95,"Very High",473230,463511,17.7,3790,3210,7102,2827
"Venezuela",53.21,"Medium",1200487,638790,42.1,0,0,8029,3897
"Cameroon",87.46,"Very High",107930,94400,4.1,0,30,7425,576
"Niger",98.24,"Very High",37313,36656,1.5,0,0,1304,224
"Australia",9.29,"Very Low",1160779,107851,45.2,165690,17020,33117,658
"Syria",94.59,"Very High",315000,297944,15.2,0,0,2679,1817
"Mali",97.11,"Very High",38747,37626,1.8,2740,60,2133,230
"Taiwan",4.49,"Very Low",1484073,66635,62,0,0,32765,406
"Burkina Faso",94.05,"Very High",231773,217974,10.8,1850,170,4140,1330
"Sri Lanka",92.09,"Very High",184216,169645,8.4,1470,0,10369,1035
"Malawi",97.23,"Very High",103247,100392,5.3,830,140,2255,612
"Zambia",94.01,"Very High",277947,261284,14.7,2840,50,2630,1594
"Kazakhstan",94.14,"Very High",1164935,1096651,62.1,9320,10,58878,6690
"Chile",35.19,"Low",609432,214482,31.6,7600,1060,9716,1308
"Romania",72.44,"High",510297,369642,26.5,25550,54920,20757,2255
"Chad",97.37,"Very High",81531,79388,4.9,0,0,2976,484
"Somalia",97.32,"Very High",185048,180080,11.2,0,0,8280,1098
"Ecuador",98.5,"Very High",251270,247512,14.3,6400,7600,4630,1510
"Guatemala",79.72,"High",476663,379975,28.3,7380,880,4600,2318
"Senegal",97.36,"Very High",220865,215045,13.4,3700,0,1976,1312
"Netherlands",4.71,"Very Low",989442,46561,56.7,263060,337750,16391,284
"Cambodia",91.89,"Very High",93654,86055,5.7,8070,0,4829,525
"Zimbabwe",88.78,"Very High",333443,296016,21.3,2670,330,7912,1806
"Guinea",97.61,"Very High",23876,23307,1.8,0,120,1110,142
"Rwanda",96.55,"Very High",348837,336806,26.5,2790,0,1614,2055
"Benin",89.21,"Very Low",50073,44669,4,400,80,805,272
"Burundi",97.24,"Very High",65521,63712,5.4,520,0,960,389
"Bolivia",73.04,"High",226189,165214,18.9,1810,0,2225,1008
"Tunisia",79.47,"High",179885,142947,14.8,14390,0,97492,872
"Haiti",99.61,"Very High",126931,126432,2.1,3030,200,7298,771
"Belgium",5.72,"Very Low",656295,37561,56.9,297950,148570,11168,229
"Dominican Republic",89.16,"Very High",406391,362330,49.3,0,0,13338,2210
"Jordan",61.64,"High",404800,249536,37,3240,0,2442,1522
"South Sudan",97.34,"Very High",213256,207574,20.1,0,730,1461,1266
"Cuba",73.81,"High",258498,190805,22.9,0,0,3381,1164
"Honduras",71.88,"High",311548,223939,30.8,2490,19880,1903,1366
"Sweden",1.49,"Very Low",288007,4304,27.8,86120,15640,9838,26
"Papua New Guinea",80.58,"Very High",100000,80583,10.3,0,0,12813,492
"Czech Republic",1.89,"Very Low",475180,8996,44.4,643420,675870,10538,55
"Azerbaijan",98.01,"Very High",230619,226034,22.8,1840,3910,3530,1379
"Tajikistan",99.25,"Very High",142193,141129,14.9,0,930,1743,861
"Greece",58.76,"Medium",350828,206141,32.8,22670,3200,11928,1257
"Portugal",12.09,"Very Low",344912,41687,33.5,32470,4340,10450,254
"Hungary",1.32,"Very Low",482560,6381,49.5,21980,15510,11990,39
"United Arab Emirates",90.94,"Very High",1079752,981877,116.3,13250,9300,9300,5989
"Belarus",30.33,"Low",513600,155786,54.8,20260,10890,6295,950
"Israel",4.12,"Very Low",972000,40010,105.5,15320,480,8582,244
"Togo",98.69,"Very High",110903,109451,13.1,890,0,994,668
"Sierra Leone",97.17,"Very High",48545,47169,5.9,0,0,773,288
"Austria",4.12,"Very Low",408397,16836,45.8,129820,98810,8796,103
"Switzerland",8.91,"Very Low",312482,27853,36.2,30160,5070,8550,170
"Laos",79.74,"High",21466,17116,2.9,2200,1710,2197,104
"Hong Kong",0.91,"Very Low",1249560,11410,167,0,0,11017,70
"Nicaragua",87.12,"Very High",162916,141932,24.1,11240,1010,1244,866
"Serbia",54.42,"Medium",234232,127460,34,9940,18700,8447,778
"Libya",55.21,"Medium",161070,88928,24.2,0,0,3396,542
"Paraguay",67.64,"High",223240,151008,33.7,1790,1540,2163,921
"Kyrgyzstan",98.47,"Very High",118637,116817,18,1690,0,1974,713
"Bulgaria",54.77,"Medium",194447,106504,28,5910,24320,2763,650
"Turkmenistan",41.28,"Medium",10950,4520,1.8,0,0,2169,28
"El Salvador",38.68,"Low",164900,63784,26.2,10310,2200,1338,389
"Republic of the Congo",87.79,"Very High",48082,42210,8.4,0,0,655,257
"Singapore",4.97,"Very Low",593875,29525,104.4,24450,3150,8600,180
"Denmark",1.56,"Very Low",228345,3552,39.2,184560,14960,13786,22
