Entity, Recycled, Incinerated, Littered, Landfilled
Americas (excl. USA),9.554245,1.1592599,29.180883,60.10561
Asia (excl. China and India),8.351267,18.513683,33.74583,39.38922
China,12.801141,23.762764,27.052067,36.384026
Europe,12.384406,37.74739,5.667553,44.200645
India,13.333093,4.1608157,46.214355,36.29173
Middle East & North Africa,5.4478326,0.6075314,39.797066,54.14757
Oceania,6.8709826,11.508256,6.7546487,74.86611
Sub-Saharan Africa,5.7193336,0.5053036,63.607426,30.167952
United States,4.488883,19.078592,3.552523,72.880005
World,9.292344,19.048033,22.45448,49.205143
